Name,Price
"Arduino Student Kit (Made in China),""LE 3,100.00"""
"Arduino Student Kit (Made in Italy),""LE 11,200.00"""
Blue Spor Robot Wheels,LE 141.00
Byscle white Robot Wheels,LE 109.00
Climber A Robot Wheels,LE 111.00
Climber B Robot Wheels,LE 111.00
"Code & Go Robot Mouse,""LE 3,000.00"""
"Code & Go Robot Mouse Activity Set,""LE 5,140.00"""
"Elenco Electronics Snap Circuits Jr. Select Discovery Kit,""LE 5,253.00"""
"Elenco Snap Circuits 200,""LE 6,500.00"""
"Elenco Snap Circuits 3D Illumination,""LE 6,273.00"""
"Elenco Snap Circuits Arcade, Electronics Exploration Kit,""LE 5,277.00"""
"Elenco Snap Circuits BRIC,""LE 5,811.00"""
"Elenco Snap Circuits Classic 300,""LE 7,926.00"""
"Elenco Snap Circuits Elenco My Home Electronics Building Kit,""LE 8,217.00"""
"Elenco Snap Circuits Explore Coding Kit,""LE 8,582.00"""
"Elenco Snap Circuits Jr 100,""LE 5,714.00"""
"Elenco Snap Circuits LIGHT Electronics,""LE 7,974.00"""
"Elenco Snap Circuits Pro PLUS SC 510,""LE 13,733.00"""
"Elenco Snap Circuits, Motion Electronics Discovery Kit,""LE 9,651.00"""
"Evo Classroom Kit 12 Bots,""LE 133,250.00"""
"Evo Classroom Kit 18 Bots,""LE 201,500.00"""
"Evo Entry Kit,""LE 11,375.00"""
"INFOSUN VR Head Strap for Meta Quest 3,""LE 4,651.00"""
"KUBO Coding Starter Set,""LE 5,200.00"""
LEGO Classic Blue Baseplate,LE 825.00
"LEGO Classic Creative Party Box,""LE 3,715.00"""
"LEGO Classic Gray Baseplate,""LE 1,540.00"""
"LEGO Classic Lots of Bricks,""LE 4,455.00"""
LEGO Classic White Baseplate,LE 825.00
"LEGO Color Sensor,""LE 3,860.00"""
"LEGO Educatio BricQ motion prime,""LE 11,730.00"""
"LEGO Education BricQ motion essentional,""LE 11,730.00"""
"LEGO Education Coding Express,""LE 20,895.00"""
"LEGO Education Spike essentional,""LE 23,350.00"""
"LEGO Education SPIKE Prime,""LE 29,205.00"""
"LEGO Education Steam park,""LE 15,275.00"""
"LEGO Education Wedo 2.0,""LE 19,705.00"""
"LEGO ev3 expansion set,""LE 6,000.00"""
"LEGO Large Angular Motor,""LE 4,165.00"""
"LEGO Medium Angular Motor,""LE 4,010.00"""
"LEGO Small Angular Motor,""LE 3,700.00"""
Lego Spike Connector,LE 370.00
LEGO Spike Essential Sparepart Box,LE 520.00
"LEGO Spike Prime Expenation,""LE 10,915.00"""
Lego spike Prime Sparepart Box,LE 520.00
"Link Cable 16 ft for MetaQuest,""LE 4,382.00"""
Lotus Robot Wheels,LE 191.00
"Maker and Coder AIoT Kit,""LE 26,400.00"""
"Maker&Coder MC 4.0 Base Kit,""LE 16,500.00"""
"Arduino Student Kit (Made in China),""LE 3,100.00"""
"Arduino Student Kit (Made in Italy),""LE 11,200.00"""
Blue Spor Robot Wheels,LE 141.00
Byscle white Robot Wheels,LE 109.00
Climber A Robot Wheels,LE 111.00
Climber B Robot Wheels,LE 111.00
"Code & Go Robot Mouse,""LE 3,000.00"""
"Code & Go Robot Mouse Activity Set,""LE 5,140.00"""
"Elenco Electronics Snap Circuits Jr. Select Discovery Kit,""LE 5,253.00"""
"Elenco Snap Circuits 200,""LE 6,500.00"""
"Elenco Snap Circuits 3D Illumination,""LE 6,273.00"""
"Elenco Snap Circuits Arcade, Electronics Exploration Kit,""LE 5,277.00"""
"Elenco Snap Circuits BRIC,""LE 5,811.00"""
"Elenco Snap Circuits Classic 300,""LE 7,926.00"""
"Elenco Snap Circuits Elenco My Home Electronics Building Kit,""LE 8,217.00"""
"Elenco Snap Circuits Explore Coding Kit,""LE 8,582.00"""
"Elenco Snap Circuits Jr 100,""LE 5,714.00"""
"Elenco Snap Circuits LIGHT Electronics,""LE 7,974.00"""
"Elenco Snap Circuits Pro PLUS SC 510,""LE 13,733.00"""
"Elenco Snap Circuits, Motion Electronics Discovery Kit,""LE 9,651.00"""
"Evo Classroom Kit 12 Bots,""LE 133,250.00"""
"Evo Classroom Kit 18 Bots,""LE 201,500.00"""
"Evo Entry Kit,""LE 11,375.00"""
"INFOSUN VR Head Strap for Meta Quest 3,""LE 4,651.00"""
"KUBO Coding Starter Set,""LE 5,200.00"""
LEGO Classic Blue Baseplate,LE 825.00
"LEGO Classic Creative Party Box,""LE 3,715.00"""
"LEGO Classic Gray Baseplate,""LE 1,540.00"""
"LEGO Classic Lots of Bricks,""LE 4,455.00"""
LEGO Classic White Baseplate,LE 825.00
"LEGO Color Sensor,""LE 3,860.00"""
"LEGO Educatio BricQ motion prime,""LE 11,730.00"""
